model,seed,S,K,total_nfe,R_partition,R_partition_lo,R_partition_hi,R_nested,R_nested_lo,R_nested_hi,marginal_gain_to_2K,marginal_gain_to_2K_lo,marginal_gain_to_2K_hi,R_minus_R32,R_minus_R32_lo,R_minus_R32_hi
iMF,2,2,4,8,7.24590657989763,6.901090290894199,7.595446570593989,7.212640199891772,6.8619922530099515,7.582492523849867,0.7337701449491497,0.7060418505695162,0.7614125829044454,1.1731890984407987,1.1258426990178578,1.2216743933869092
iMF,2,2,8,16,6.512136434948481,6.159783227666468,6.8812411580962225,6.4960345791186755,6.140458019702915,6.862437313872528,0.3021635245396126,0.281866675885958,0.32224279755336804,0.4394189534916492,0.4115945692827767,0.4676396575225184
iMF,2,2,16,32,6.209972910408868,5.851769340368737,6.578585274163998,6.183912407648046,5.824303891443173,6.556335959565859,0.1372554289520366,0.11996556587300033,0.1544269553177122,0.1372554289520366,0.11996556587300033,0.1544269553177122
iMF,2,2,32,64,6.072717481456832,5.709989248992964,6.449088369401095,6.072717481456832,5.709989248992964,6.449088369401095,nan,nan,nan,0.0,0.0,0.0
consistency distillation,42,1,1,1,8.266568290675067,7.913524169448048,8.635172052209166,7.8764743236527535,7.488052827674234,8.254471226784402,0.5649171143648113,0.5448378455106877,0.5873699863284177,2.1286298327486284,2.064908917653744,2.195417931832664
consistency distillation,42,1,2,2,7.701651176310255,7.351968315629282,8.068388406201102,7.5680391569374,7.200330654888805,7.931425697608762,0.9192214691944538,0.8890700276334806,0.9512790239167533,1.5637127183838173,1.5084414976508913,1.6198131132946194
consistency distillation,42,1,4,4,6.782429707115801,6.415582256278359,7.167389632484625,6.774242665392302,6.391006322754174,7.1556192210532075,0.3706684136589153,0.34847974908413387,0.3938019240105583,0.6444912491893634,0.6089089160829443,0.6816217470317374
consistency distillation,42,1,8,8,6.411761293456886,6.03590910608806,6.803016324754301,6.385450314476423,6.012102922622323,6.7764489352490935,0.17447537410280753,0.1561207291203988,0.1924212512040865,0.27382283553044817,0.2503265766510804,0.2983836183668119
consistency distillation,42,1,16,16,6.237285919354078,5.859999583608381,6.632372967423456,6.228603629671313,5.850176164585994,6.620194074599548,0.09934746142764059,0.08297520783507263,0.11587724393349765,0.09934746142764059,0.08297520783507263,0.11587724393349765
consistency distillation,42,1,32,32,6.137938457926438,5.760082389083188,6.535381187520972,6.137938457926438,5.760082389083188,6.535381187520972,nan,nan,nan,0.0,0.0,0.0
consistency distillation,1,1,1,1,9.017516412856716,8.680000713647136,9.375601331952645,8.735454111130993,8.36028590759401,9.133239111325649,0.6403006643248346,0.621672969597762,0.6610669406833376,2.821308664162638,2.737558362722041,2.9055449132573665
consistency distillation,1,1,2,2,8.377215748531881,8.04849092827404,8.726277242448138,8.398096573513556,8.053779807255216,8.758000407060136,1.253526335043391,1.2144886889906796,1.2919716712286233,2.1810079998378034,2.1045551724436615,2.2584318597238213
consistency distillation,1,1,4,4,7.123689413488491,6.778025439972238,7.497066093494002,7.143635400877105,6.780359699774272,7.527677518819968,0.5609351636891424,0.5316467406637198,0.590204429368555,0.9274816647944123,0.8806621607118112,0.976045899988156
consistency distillation,1,1,8,8,6.562754249799349,6.202630088211587,6.9472887868773245,6.553293283031692,6.190539697971235,6.933122518060284,0.24149190698929052,0.22008065926378798,0.2641082244566078,0.36654650110527004,0.3377575921392506,0.39674135753671363
consistency distillation,1,1,16,16,6.321262342810058,5.959079202970029,6.710837873718923,6.334330153281638,5.96493953858771,6.7270242074142015,0.1250545941159795,0.10771204118572521,0.14269523842501813,0.1250545941159795,0.10771204118572521,0.14269523842501813
consistency distillation,1,1,32,32,6.1962077486940785,5.827565803400646,6.5845329941105435,6.1962077486940785,5.827565803400646,6.5845329941105435,nan,nan,nan,0.0,0.0,0.0
consistency distillation,2,1,1,1,9.34298590243599,9.002605821591963,9.69427779016727,8.891807761576402,8.519870382921095,9.278151313632181,0.6724773764506011,0.6523554739839095,0.6932491336590707,2.898738823314158,2.8219707317638703,2.9810396468291143
consistency distillation,2,1,2,2,8.670508525985387,8.337293423042043,9.012123483185457,8.558106937623187,8.208527729531506,8.927348715593535,1.283214445255688,1.248738917315314,1.320178010710723,2.226261446863557,2.158257718974398,2.3005050910863973
consistency distillation,2,1,4,4,7.387294080729699,7.030233358372415,7.756573979163546,7.3325831958131875,6.971691950630861,7.701531711627601,0.556038971221091,0.5284217660278321,0.583577498977227,0.9430470016078689,0.899214308450084,0.9891117162433183
consistency distillation,2,1,8,8,6.831255109508609,6.464247503526208,7.212003521225558,6.810180042977117,6.431826989991013,7.2010524607614395,0.264625268901571,0.24356619704272153,0.28672407270324746,0.3870080303867778,0.36147041175130823,0.41520616108883246
