round,global_step,s,bin,n,h_mean,beta_mean,w_mean,effective_w_mean,delta2_mean,u_norm_mean,dudt_norm_mean,hdudt_norm_mean
42,9240,0.86,"[0.7,1.0)",59,0.746736,0.423043,0.00488154,0.0020651,301.6934,32.7565,17.933,13.4134
42,9240,0.86,boundary(r=t),7012,0.0,1.0,0.00875958,0.00875958,137.3136,0.0,0.0,0.0
43,9460,0.856667,"[0.0,0.1)",1886,0.048748,1.206903,0.0088848,0.01072309,144.2617,33.3619,33.3003,1.5778
43,9460,0.856667,"[0.1,0.3)",2927,0.193381,1.044932,0.00668964,0.00699022,206.8275,33.4574,32.2646,6.283
43,9460,0.856667,"[0.3,0.5)",1612,0.38564,0.829634,0.00519688,0.0043115,341.8388,33.4168,29.8448,11.2995
43,9460,0.856667,"[0.5,0.7)",545,0.575637,0.61687,0.00593349,0.00366019,232.5192,33.2314,18.1417,10.3808
43,9460,0.856667,"[0.7,1.0)",43,0.746587,0.425423,0.00488326,0.00207745,327.3143,32.7376,18.8017,14.144
43,9460,0.856667,boundary(r=t),7012,0.0,1.0,0.00884546,0.00884546,137.3277,0.0,0.0,0.0
44,9680,0.853333,"[0.0,0.1)",1805,0.049455,1.205308,0.00914135,0.01101814,141.8793,33.4432,32.7034,1.5846
44,9680,0.853333,"[0.1,0.3)",2968,0.193084,1.045087,0.00661307,0.00691123,211.6015,33.3581,32.6123,6.3645
44,9680,0.853333,"[0.3,0.5)",1621,0.388204,0.82743,0.00505888,0.00418587,341.7472,33.3368,29.8293,11.3564
44,9680,0.853333,"[0.5,0.7)",554,0.573875,0.620335,0.0057235,0.00355049,244.1085,33.0238,18.8385,10.7421
44,9680,0.853333,"[0.7,1.0)",65,0.746419,0.427912,0.00522633,0.00223641,291.9468,33.0783,18.2417,13.6681
44,9680,0.853333,boundary(r=t),7012,0.0,1.0,0.00878781,0.00878781,137.2071,0.0,0.0,0.0
45,9900,0.85,"[0.0,0.1)",1851,0.049987,1.203917,0.00879699,0.01059085,145.0099,33.3022,33.4742,1.605
45,9900,0.85,"[0.1,0.3)",3020,0.19214,1.045963,0.00665279,0.00695857,215.2393,33.4229,33.524,6.5111
45,9900,0.85,"[0.3,0.5)",1547,0.38841,0.827881,0.00523658,0.00433527,327.121,33.4436,29.0374,11.0555
45,9900,0.85,"[0.5,0.7)",525,0.573688,0.622012,0.00574554,0.00357379,236.3796,33.064,18.8344,10.7097
45,9900,0.85,"[0.7,1.0)",70,0.74589,0.430719,0.00565485,0.00243565,243.9291,32.9827,17.1072,12.8552
45,9900,0.85,boundary(r=t),7012,0.0,1.0,0.00884894,0.00884894,137.1449,0.0,0.0,0.0
46,10120,0.846667,"[0.0,0.1)",1831,0.049063,1.204131,0.00904959,0.01089689,143.5476,33.2422,32.4743,1.5589
46,10120,0.846667,"[0.1,0.3)",2957,0.193466,1.044313,0.00667436,0.00697013,207.8593,33.3541,32.6664,6.3744
46,10120,0.846667,"[0.3,0.5)",1644,0.386217,0.830978,0.00524013,0.00435443,332.5745,33.4385,29.535,11.1946
46,10120,0.846667,"[0.5,0.7)",535,0.574759,0.622285,0.0058593,0.00364616,216.1278,33.3227,18.1458,10.36
46,10120,0.846667,"[0.7,1.0)",46,0.742486,0.436709,0.00559895,0.00244512,247.0623,32.39,16.356,12.2554
46,10120,0.846667,boundary(r=t),7012,0.0,1.0,0.00881171,0.00881171,137.4401,0.0,0.0,0.0
47,10340,0.843333,"[0.0,0.1)",1879,0.049156,1.20324,0.00898887,0.01081576,142.8011,33.369,32.6141,1.5626
47,10340,0.843333,"[0.1,0.3)",2911,0.192256,1.045474,0.00655261,0.00685058,206.6701,33.4458,32.7782,6.3208
47,10340,0.843333,"[0.3,0.5)",1631,0.386125,0.831751,0.00528561,0.00439631,327.425,33.3397,28.8158,10.9712
47,10340,0.843333,"[0.5,0.7)",542,0.574716,0.623835,0.00574555,0.00358427,257.5647,33.3157,19.7434,11.2299
47,10340,0.843333,"[0.7,1.0)",50,0.75574,0.424,0.00511009,0.00216668,284.2576,32.8482,18.5295,14.0775
47,10340,0.843333,boundary(r=t),7012,0.0,1.0,0.00887651,0.00887651,136.6239,0.0,0.0,0.0
48,10560,0.84,"[0.0,0.1)",1855,0.049455,1.202109,0.0090315,0.01085685,144.0974,33.4704,33.6389,1.6145
