beat_count_max,beat_count_mean,beat_count_min,beat_count_sd,cond_timing_sd_ms,frac_unstable_beats,gt_detection_prob,nfe,seed_pair_f1,subject,window
13,9.71875,7,1.3255400603576277,60.754563117372044,1.0,0.65625,1,0.20000000000000004,an0,14581
11,9.21875,5,1.4532360996377438,nan,0.5454545454545454,0.28125,1,0.11764705882352941,an0,14704
11,9.71875,8,0.6342063874918668,13.98436962566047,0.0,0.9375,1,0.9473684210526316,an0,14898
12,9.84375,8,0.9873187869663852,66.77375473143813,0.9090909090909091,0.40625,1,0.1904761904761905,an0,14961
10,9.75,7,0.672021505032247,18.881152124474887,0.0,0.96875,1,0.9,an0,15130
10,9.5,4,1.2443420336765103,24.658183604404304,0.0,0.9375,1,0.8000000000000002,an0,15321
11,8.875,3,1.237844119635477,16.716858822355846,0.0,0.9375,1,0.888888888888889,an0,15515
10,8.59375,3,1.6036123536083031,28.10068393295793,0.0,0.84375,1,0.5882352941176471,an0,15574
10,9.4375,9,0.5040161287741853,33.87547825348739,0.0,0.90625,1,0.5555555555555556,an0,15588
12,10.15625,5,1.4392958627902608,22.40923822623929,0.09090909090909091,0.90625,1,0.761904761904762,an0,15682
10,8.75,5,0.9837387536759294,20.93886034138041,0.1111111111111111,0.90625,1,0.7777777777777778,an0,15911
12,8.1875,5,1.281065584682558,33.95251033564207,0.1111111111111111,0.84375,1,0.5555555555555556,an0,16048
11,8.5625,6,1.0757592967370206,29.72824285345967,0.0,0.9375,1,0.7777777777777777,an0,16088
11,9.09375,4,1.3995246888993098,36.45627594093796,0.2222222222222222,0.84375,1,0.47058823529411764,an0,16140
