seed,arm,nfe,metric,value,ci_lo,ci_hi
2,C,1,HR,9.108697112055685,8.694737946766546,9.530382916249549
2,C,1,Rpeak_F1,0.7445658991567083,0.7348444172308262,0.7542154560013211
2,C,1,RR_MAE_ms,9.153180396873044,8.94800648078073,9.35723787195835
2,C,1,MAE,0.3038871904346702,0.29921865277966186,0.3087723891984337
2,C,1,RMSE,0.36382542563450265,0.3592482008159226,0.3685163345028517
2,C,1,FD_kanflow,39.1938556432366,,
2,C,1,Micro_F1,0.7648853352764998,,
2,C,1,ms_per_window,0.5709494620712505,,
2,C,2,HR,25.406647677852785,25.09427129017221,25.719676644030343
2,C,2,Rpeak_F1,0.2161512233335232,0.21354726567661123,0.21872622594435284
2,C,2,RR_MAE_ms,26.108339669691915,25.590384021856828,26.598783181619737
2,C,2,MAE,0.43488346793879235,0.43163817099215773,0.43828085935067573
2,C,2,RMSE,0.5467142033270493,0.5434738137097839,0.550101876743337
2,C,2,FD_kanflow,48.86044379822923,,
2,C,2,Micro_F1,0.22397091715869988,,
2,C,2,ms_per_window,1.1348205420467221,,
2,C,4,HR,11.308041244846917,10.97130987102762,11.650807445560334
2,C,4,Rpeak_F1,0.6148088125251916,0.6069433566376423,0.6223700710999523
2,C,4,RR_MAE_ms,24.08458857198871,23.862021274135202,24.300510881603497
2,C,4,MAE,0.38759555542535185,0.38371179681560896,0.3917516242716491
2,C,4,RMSE,0.4912566735734525,0.4876085479579495,0.4950052060095153
2,C,4,FD_kanflow,18.428273057331133,,
2,C,4,Micro_F1,0.6198561077905018,,
2,C,4,ms_per_window,2.2752085540873557,,
2,C,50,HR,11.187313599589931,10.874822144065304,11.519092325389558
2,C,50,Rpeak_F1,0.5961522390523363,0.5886609478867344,0.6032343245813889
2,C,50,RR_MAE_ms,24.97254064134815,24.77172246673547,25.16853755894849
2,C,50,MAE,0.4174834210294613,0.4139864834140447,0.42102056611321276
2,C,50,RMSE,0.5118188520999124,0.508576337288735,0.5152117012693033
2,C,50,FD_kanflow,4.0513277388633995,,
2,C,50,Micro_F1,0.5929367785485585,,
2,C,50,ms_per_window,28.720589698943485,,
2,C,1,HR_consensus_K16,7.625182104748095,7.204218343696735,8.05831088194105
2,I,1,HR,10.017863899587965,9.682276126437536,10.362676291889958
2,I,1,Rpeak_F1,0.6576314606572734,0.6496535790076902,0.665808972301537
2,I,1,RR_MAE_ms,20.959818080834726,20.727996022828233,21.183965812593293
2,I,1,MAE,0.40875252586775956,0.4045362993753529,0.41302072660889033
2,I,1,RMSE,0.4997193962186056,0.495743729630277,0.5038036419612079
2,I,1,FD_kanflow,6.218863563285993,,
2,I,1,Micro_F1,0.6533487018811395,,
2,I,1,ms_per_window,1.21791808325513,,
2,I,2,HR,9.631294408400581,9.300403085492949,9.971540781386757
2,I,2,Rpeak_F1,0.6595934316747328,0.6514748465792792,0.6679475999457293
2,I,2,RR_MAE_ms,19.413094698629134,19.182173815363647,19.643663273187247
2,I,2,MAE,0.4188614156003787,0.4145393811645527,0.42338179660883063
2,I,2,RMSE,0.5090659718716309,0.5050180707242762,0.5131934691450406
2,I,2,FD_kanflow,5.092280697559019,,
2,I,2,Micro_F1,0.6577511745452604,,
2,I,2,ms_per_window,1.6181969834737249,,
2,I,4,HR,9.065650795895603,8.721617104176133,9.416476571041999
2,I,4,Rpeak_F1,0.6670547908432217,0.658697154280822,0.675332438709509
2,I,4,RR_MAE_ms,18.54489964090509,18.2717466599557,18.804852718017173
2,I,4,MAE,0.4068434304424177,0.40218959723717584,0.4115681867272486
2,I,4,RMSE,0.49760829669193,0.4932952544758432,0.5019303052400678
2,I,4,FD_kanflow,4.0797050538797635,,
2,I,4,Micro_F1,0.668799972703904,,
2,I,4,ms_per_window,3.6021685086097106,,
2,I,1,HR_consensus_K16,6.362037851896885,5.996869641219229,6.7297558404461615
2,S,1,HR,8.986720576561966,8.638670041468218,9.343379666278851
2,S,1,Rpeak_F1,0.6574022618153055,0.6484353474033712,0.6662053948375394
2,S,1,RR_MAE_ms,13.109122068547142,12.824203568640266,13.392047202373831
2,S,1,MAE,0.4088373979044534,0.404839280440658,0.4130634798232688
2,S,1,RMSE,0.5002182564955713,0.4965410094697993,0.5041240992020286
2,S,1,FD_kanflow,6.7376584525669045,,
2,S,1,Micro_F1,0.6593598409168704,,
2,S,1,ms_per_window,0.12883405953526855,,
2,S,2,HR,8.849316017558541,8.506533852411337,9.206846196997246
2,S,2,Rpeak_F1,0.6478284209540834,0.6387002451109044,0.6566338399611384
2,S,2,RR_MAE_ms,12.906266430162194,12.640172862128523,13.165722389662847
2,S,2,MAE,0.4172793515985509,0.4133178169893685,0.42147412869982204
2,S,2,RMSE,0.5107298352905282,0.5070501563841617,0.5145818812389704
2,S,2,FD_kanflow,5.061631133483708,,
2,S,2,Micro_F1,0.6492326162948812,,
2,S,2,ms_per_window,0.2653766854265442,,
2,S,4,HR,9.043566331585298,8.681735541744304,9.390971050657665
2,S,4,Rpeak_F1,0.6361720283804774,0.6273153873382721,0.6447666885851501
2,S,4,RR_MAE_ms,12.885218207785497,12.6154746041693,13.161108684934971
2,S,4,MAE,0.4307209924746997,0.4268743126582888,0.4347367030838052
2,S,4,RMSE,0.5262062133026778,0.5226685414750903,0.5298858477760952
2,S,4,FD_kanflow,5.8488472975927195,,
2,S,4,Micro_F1,0.6410114502161983,,
2,S,4,ms_per_window,0.6029055765763025,,
2,S,1,HR_consensus_K16,6.247560114910014,5.885727650208366,6.633930749034749
2,contrast,1,H1_HR,-1.1694497000019646,-1.2967678250403152,-1.0418784211875993
2,contrast,1,H1_F1,0.06147922160493705,0.05941627696215762,0.06367269950537868
2,contrast,1,H2_HR,-4.825275747693046,-4.983859450333812,-4.663293120163608
2,contrast,1,H3_HR,-2.2005930230279644,-2.339988529174365,-2.0615948136597613
2,contrast,1,H3_F1,0.061250022762968995,0.05735588851395712,0.06527656616990372
