arm,nfe,metric,value,ci_lo,ci_hi,diff_vs_I,diff_ci_lo,diff_ci_hi
B,4,RR_MAE_ms,9.053883927585936,8.809184321973502,9.31500089466789,-10.081343280341443,-10.26927793469721,-9.887378862128106
B,4,MAE,0.4584996206781014,0.4548149136999788,0.46238350326175276,0.05273076953903219,0.05056226662298263,0.05491626274171155
B,4,RMSE,0.550749152236923,0.5472612878703794,0.5543628929143544,0.052183243260653954,0.05019713339598722,0.05420586294519822
B,4,FD_kanflow,7.404113023771821,,,,,
B,4,Micro_F1,0.6337117349437281,,,,,
B,4,ms_per_window,6.177649312375927,,,,,
B,1,HR_consensus_K16,6.161893688134597,5.782745434927416,6.554910385182554,,,
B,1,HR_no_guidance,8.630054921829391,8.278781742883346,9.00516359870297,,,
B,1,Rpeak_F1_no_guidance,0.6217365978478456,0.6132797142928271,0.6298955873199964,,,
B,1,FD_kanflow_no_guidance,4.370525610317053,,,,,
