round,global_step,frac_of_T,s,beta_h005,beta_h025,beta_h050,beta_h075,beta_h095,is_best,no_improve
217,47740,0.723333,0.276667,1.0,1.0,1.0,1.0,1.0,0,82
218,47960,0.726667,0.273333,1.0,1.0,1.0,1.0,1.0,0,83
219,48180,0.73,0.27,1.0,1.0,1.0,1.0,1.0,0,84
220,48400,0.733333,0.266667,1.0,1.0,1.0,1.0,1.0,0,85
221,48620,0.736667,0.263333,1.0,1.0,1.0,1.0,1.0,0,86
222,48840,0.74,0.26,1.0,1.0,1.0,1.0,1.0,0,87
223,49060,0.743333,0.256667,1.0,1.0,1.0,1.0,1.0,0,88
224,49280,0.746667,0.253333,1.0,1.0,1.0,1.0,1.0,0,89
225,49500,0.75,0.25,1.0,1.0,1.0,1.0,1.0,0,90
226,49720,0.753333,0.246667,1.0,1.0,1.0,1.0,1.0,0,91
227,49940,0.756667,0.243333,1.0,1.0,1.0,1.0,1.0,0,92
228,50160,0.76,0.24,1.0,1.0,1.0,1.0,1.0,0,93
229,50380,0.763333,0.236667,1.0,1.0,1.0,1.0,1.0,0,94
230,50600,0.766667,0.233333,1.0,1.0,1.0,1.0,1.0,0,95
231,50820,0.77,0.23,1.0,1.0,1.0,1.0,1.0,0,96
232,51040,0.773333,0.226667,1.0,1.0,1.0,1.0,1.0,0,97
233,51260,0.776667,0.223333,1.0,1.0,1.0,1.0,1.0,0,98
234,51480,0.78,0.22,1.0,1.0,1.0,1.0,1.0,0,99
235,51700,0.783333,0.216667,1.0,1.0,1.0,1.0,1.0,0,100
236,51920,0.786667,0.213333,1.0,1.0,1.0,1.0,1.0,0,101
237,52140,0.79,0.21,1.0,1.0,1.0,1.0,1.0,0,102
238,52360,0.793333,0.206667,1.0,1.0,1.0,1.0,1.0,0,103
239,52580,0.796667,0.203333,1.0,1.0,1.0,1.0,1.0,0,104
240,52800,0.8,0.2,1.0,1.0,1.0,1.0,1.0,0,105
241,53020,0.803333,0.196667,1.0,1.0,1.0,1.0,1.0,0,106
242,53240,0.806667,0.193333,1.0,1.0,1.0,1.0,1.0,0,107
243,53460,0.81,0.19,1.0,1.0,1.0,1.0,1.0,0,108
244,53680,0.813333,0.186667,1.0,1.0,1.0,1.0,1.0,0,109
245,53900,0.816667,0.183333,1.0,1.0,1.0,1.0,1.0,0,110
246,54120,0.82,0.18,1.0,1.0,1.0,1.0,1.0,0,111
247,54340,0.823333,0.176667,1.0,1.0,1.0,1.0,1.0,0,112
248,54560,0.826667,0.173333,1.0,1.0,1.0,1.0,1.0,0,113
249,54780,0.83,0.17,1.0,1.0,1.0,1.0,1.0,0,114
250,55000,0.833333,0.166667,1.0,1.0,1.0,1.0,1.0,0,115
251,55220,0.836667,0.163333,1.0,1.0,1.0,1.0,1.0,0,116
252,55440,0.84,0.16,1.0,1.0,1.0,1.0,1.0,0,117
253,55660,0.843333,0.156667,1.0,1.0,1.0,1.0,1.0,0,118
254,55880,0.846667,0.153333,1.0,1.0,1.0,1.0,1.0,0,119
255,56100,0.85,0.15,1.0,1.0,1.0,1.0,1.0,0,120
