nfe,metric,orientation,arm,U,S,effect,ci_lo,ci_hi,rel_improvement,ci_excludes_zero,n_clusters,n_subjects,effect_an0,rel_an0,effect_k2s,rel_k2s
4,F4__gt_energy,neutral,E,0.011936539242060087,0.011936539242060087,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,F4__pred_energy,neutral,E,0.009309872900732586,0.008030026090846552,0.001279846809886033,0.0012618917679296778,0.0012977936633121467,-0.13747199596949647,True,12400,2,-0.0015122344209598543,-0.16257756407785273,-0.0010474591988122116,-0.11241090893958483
4,F4__ratio_dev,lower_better,E,0.3809006604505141,0.42087619592854064,-0.03997553547802672,-0.04245987142990999,-0.03733750448613934,-0.10495002930881009,True,12400,2,-0.041182054716540614,-0.09776696554303617,-0.03876901623951283,-0.11383412637838612
4,f1@50,higher_better,E,0.4383190026684245,0.45649551668137855,0.01817651401295403,0.01670082179211156,0.019590691657883217,0.04146868810683086,True,12400,2,0.011243113190122327,0.025708049567276375,0.025109914835785733,0.057158953641175514
4,precision@50,higher_better,E,0.44695092265498026,0.46525176605812657,0.01830084340314635,0.016761772216104382,0.019843977689410375,0.04094597969377832,True,12400,2,0.012226942929250898,0.027313055128866972,0.024374743877041805,0.05462218632457579
4,recall@50,higher_better,E,0.43463935101509865,0.4524334635396784,0.017794112524579683,0.0163409957724248,0.019227537578008692,0.04093994821918829,True,12400,2,0.010207551368974018,0.023584876175043352,0.025380673680185345,0.05814880629512292
4,missing@50,lower_better,E,5.605381116185143,5.415366477320857,0.1900146388642857,0.1755995262610371,0.20380191626562966,0.033898611874156374,True,12400,2,0.1378470970068518,0.023945875118110967,0.24218218072171965,0.044403278695833465
4,spurious@50,lower_better,E,4.977600065634923,4.845163708570279,0.13243635706464432,0.11681849165522386,0.14798963085415578,0.02660646804048746,True,12400,2,0.09978663300877509,0.020098358175077553,0.16508608112051357,0.03308149039691435
4,floor_f1@50,higher_better,E,0.1170252121173499,0.11779999364276042,0.0007747815254105193,0.0003783968013744204,0.0011893001923040545,0.006620637650573892,True,12400,2,0.0004661575693721045,0.003972378410824672,0.0010834054814489343,0.009283625699867721
4,f1_excess@50,higher_better,E,0.32129379055107465,0.3386955230386181,0.01740173248754351,0.015875618951718275,0.0189216620668104,0.054161434174300284,True,12400,2,0.01077695562075022,0.033679196388744115,0.024026509354336797,0.07447792307679992
4,f1@100,higher_better,E,0.6109941316467533,0.6169733227603582,0.005979191113604926,0.004512408009504939,0.007391851185075079,0.009786004159303075,True,12400,2,-0.005211678429045358,-0.00847459967195442,0.01717006065625521,0.028286200754979778
4,f1@150,higher_better,E,0.7173277100815543,0.7183619152831586,0.001034205201604299,-0.00028161636301447254,0.002322263972592477,0.001441747177850935,False,12400,2,-0.00739682228316817,-0.010293513831396206,0.009465232686376768,0.0132184020547437
4,f1@200,higher_better,E,0.7814104889448922,0.7852957528649698,0.003885263920077519,0.00268894630690351,0.004992650588379322,0.004972116416460849,True,12400,2,-0.0006425877404924481,-0.0008250950225855393,0.008413115580647485,0.010730789632255804
4,n_pred_beats,neutral,E,9.038323885422582,9.095902167222224,-0.05757828179964139,-0.06823288876388836,-0.04713044878246902,0.006370460112909596,True,12400,2,0.038060463998076687,0.00423562304459866,0.0770960996012061,0.00848062869798728
4,n_ref_beats,neutral,E,9.666104935972804,9.666104935972804,0.0,0.0,0.0,0.0,False,12400,2,0.0,0.0,0.0,0.0
4,beats_ratio_dev,lower_better,E,0.10896047449425302,0.09981008259708703,0.009150391897165999,0.008205381609578264,0.010100201493278988,0.08397900192375368,True,12400,2,0.006281945868472194,0.05279283177592821,0.012018837925859805,0.12149008863469914
4,rr_mae_ms,lower_better,E,23.237500306819637,23.053259427263683,0.2708038661121006,0.13397024795792462,0.4163302768316262,0.007928601489975411,True,12400,2,0.13441973199170226,0.003345319056438092,0.4071880002324989,0.012558651494580034
4,rmse,lower_better,E,0.4152162006535911,0.42046028176973654,-0.005244081116145447,-0.00558510153005764,-0.004912322269373269,-0.012629760370358236,True,12400,2,-0.007408476736113001,-0.017282819433701715,-0.0030796854961778935,-0.007665274781808304
4,corr,higher_better,E,0.10802332372603271,0.12949295268231995,0.021469628956287214,0.020692737103072213,0.022207194908964858,0.19874993858491355,True,12400,2,0.01755032963238247,0.18185991067429777,0.025388928280191955,0.21238503506799403
