model,B,n_cal,method,K,S,frequency,entropy_nats,is_fullval
PENGUIN,32,50,UCB,4,8,0.035,0.81685312912799,False
PENGUIN,32,50,UCB,2,16,0.0,0.81685312912799,False
PENGUIN,32,50,UCB,1,32,0.0,0.81685312912799,False
PENGUIN,32,50,ERM,32,1,0.0,0.6730116670092565,False
PENGUIN,32,50,ERM,16,2,0.6,0.6730116670092565,True
PENGUIN,32,50,ERM,8,4,0.4,0.6730116670092565,False
PENGUIN,32,50,ERM,4,8,0.0,0.6730116670092565,False
PENGUIN,32,50,ERM,2,16,0.0,0.6730116670092565,False
PENGUIN,32,50,ERM,1,32,0.0,0.6730116670092565,False
PENGUIN,32,100,UCB,32,1,0.0,0.6929471672244782,False
PENGUIN,32,100,UCB,16,2,0.51,0.6929471672244782,True
PENGUIN,32,100,UCB,8,4,0.49,0.6929471672244782,False
PENGUIN,32,100,UCB,4,8,0.0,0.6929471672244782,False
PENGUIN,32,100,UCB,2,16,0.0,0.6929471672244782,False
PENGUIN,32,100,UCB,1,32,0.0,0.6929471672244782,False
PENGUIN,32,100,ERM,32,1,0.0,0.6906951757946529,False
PENGUIN,32,100,ERM,16,2,0.535,0.6906951757946529,True
PENGUIN,32,100,ERM,8,4,0.465,0.6906951757946529,False
PENGUIN,32,100,ERM,4,8,0.0,0.6906951757946529,False
PENGUIN,32,100,ERM,2,16,0.0,0.6906951757946529,False
PENGUIN,32,100,ERM,1,32,0.0,0.6906951757946529,False
PENGUIN,32,200,UCB,32,1,0.0,0.6918966592050799,False
PENGUIN,32,200,UCB,16,2,0.525,0.6918966592050799,True
PENGUIN,32,200,UCB,8,4,0.475,0.6918966592050799,False
PENGUIN,32,200,UCB,4,8,0.0,0.6918966592050799,False
PENGUIN,32,200,UCB,2,16,0.0,0.6918966592050799,False
PENGUIN,32,200,UCB,1,32,0.0,0.6918966592050799,False
PENGUIN,32,200,ERM,32,1,0.0,0.6730116670092565,False
PENGUIN,32,200,ERM,16,2,0.6,0.6730116670092565,True
PENGUIN,32,200,ERM,8,4,0.4,0.6730116670092565,False
PENGUIN,32,200,ERM,4,8,0.0,0.6730116670092565,False
PENGUIN,32,200,ERM,2,16,0.0,0.6730116670092565,False
PENGUIN,32,200,ERM,1,32,0.0,0.6730116670092565,False
PENGUIN,16,5,UCB,16,1,0.16,1.476055543391133,False
PENGUIN,16,5,UCB,8,2,0.34,1.476055543391133,True
PENGUIN,16,5,UCB,4,4,0.305,1.476055543391133,False
PENGUIN,16,5,UCB,2,8,0.1,1.476055543391133,False
PENGUIN,16,5,UCB,1,16,0.095,1.476055543391133,False
PENGUIN,16,5,ERM,16,1,0.15,1.2322515234816087,False
PENGUIN,16,5,ERM,8,2,0.5,1.2322515234816087,True
PENGUIN,16,5,ERM,4,4,0.275,1.2322515234816087,False
PENGUIN,16,5,ERM,2,8,0.04,1.2322515234816087,False
PENGUIN,16,5,ERM,1,16,0.035,1.2322515234816087,False
PENGUIN,16,10,UCB,16,1,0.105,1.2872273534581995,False
PENGUIN,16,10,UCB,8,2,0.535,1.2872273534581995,True
PENGUIN,16,10,UCB,4,4,0.21,1.2872273534581995,False
PENGUIN,16,10,UCB,2,8,0.07,1.2872273534581995,False
PENGUIN,16,10,UCB,1,16,0.08,1.2872273534581995,False
PENGUIN,16,10,ERM,16,1,0.085,0.9379840635664833,False
PENGUIN,16,10,ERM,8,2,0.675,0.9379840635664833,True
PENGUIN,16,10,ERM,4,4,0.205,0.9379840635664833,False
PENGUIN,16,10,ERM,2,8,0.025,0.9379840635664833,False
PENGUIN,16,10,ERM,1,16,0.01,0.9379840635664833,False
PENGUIN,16,25,UCB,16,1,0.06,0.8371154936890166,False
PENGUIN,16,25,UCB,8,2,0.645,0.8371154936890166,True
PENGUIN,16,25,UCB,4,4,0.29,0.8371154936890166,False
PENGUIN,16,25,UCB,2,8,0.0,0.8371154936890166,False
PENGUIN,16,25,UCB,1,16,0.005,0.8371154936890166,False
PENGUIN,16,25,ERM,16,1,0.055,0.7197422678229248,False
PENGUIN,16,25,ERM,8,2,0.73,0.7197422678229248,True
PENGUIN,16,25,ERM,4,4,0.215,0.7197422678229248,False
PENGUIN,16,25,ERM,2,8,0.0,0.7197422678229248,False
PENGUIN,16,25,ERM,1,16,0.0,0.7197422678229248,False
PENGUIN,16,50,UCB,16,1,0.0,0.2787693717685874,False
PENGUIN,16,50,UCB,8,2,0.92,0.2787693717685874,True
PENGUIN,16,50,UCB,4,4,0.08,0.2787693717685874,False
PENGUIN,16,50,UCB,2,8,0.0,0.2787693717685874,False
PENGUIN,16,50,UCB,1,16,0.0,0.2787693717685874,False
PENGUIN,16,50,ERM,16,1,0.005,0.2441776814839741,False
PENGUIN,16,50,ERM,8,2,0.94,0.2441776814839741,True
PENGUIN,16,50,ERM,4,4,0.055,0.2441776814839741,False
PENGUIN,16,50,ERM,2,8,0.0,0.2441776814839741,False
PENGUIN,16,50,ERM,1,16,0.0,0.2441776814839741,False
PENGUIN,16,100,UCB,16,1,0.0,0.07788250941109637,False
PENGUIN,16,100,UCB,8,2,0.985,0.07788250941109637,True
PENGUIN,16,100,UCB,4,4,0.015,0.07788250941109637,False
PENGUIN,16,100,UCB,2,8,0.0,0.07788250941109637,False
PENGUIN,16,100,UCB,1,16,0.0,0.07788250941109637,False
PENGUIN,16,100,ERM,16,1,0.0,0.07788250941109637,False
PENGUIN,16,100,ERM,8,2,0.985,0.07788250941109637,True
PENGUIN,16,100,ERM,4,4,0.015,0.07788250941109637,False
PENGUIN,16,100,ERM,2,8,0.0,0.07788250941109637,False
PENGUIN,16,100,ERM,1,16,0.0,0.07788250941109637,False
PENGUIN,16,200,UCB,16,1,0.0,-0.0,False
PENGUIN,16,200,UCB,8,2,1.0,-0.0,True
PENGUIN,16,200,UCB,4,4,0.0,-0.0,False
PENGUIN,16,200,UCB,2,8,0.0,-0.0,False
PENGUIN,16,200,UCB,1,16,0.0,-0.0,False
PENGUIN,16,200,ERM,16,1,0.0,-0.0,False
PENGUIN,16,200,ERM,8,2,1.0,-0.0,True
PENGUIN,16,200,ERM,4,4,0.0,-0.0,False
PENGUIN,16,200,ERM,2,8,0.0,-0.0,False
PENGUIN,16,200,ERM,1,16,0.0,-0.0,False
