model,B,n_cal,policy,mean_regret,mean_regret_ci,near_optimal_rate,near_optimal_rate_ci,material_rate,mean_heldout_risk,mean_heldout_risk_ci,median_regret,regret_p2.5_p97.5_across_subsets,oracle_recovery,fullval_recovery,fullval_recovery_ci,within_delta_of_fullval,entropy_nats,micro_mean_regret
iMF,16,100,UCB,0.01153,"[0.0, 0.05018]",0.97,"[0.84, 1.0]",0.01,6.427838,"[5.704024, 7.240148]",0.0,"[0.0, 0.354616]",0.97,0.97,"[0.71, 1.0]",0.97,0.134742,0.01048
iMF,16,100,ERM,0.004087,"[0.0, 0.038215]",0.99,"[0.885, 1.0]",0.01,6.420395,"[5.700628, 7.230748]",0.0,"[0.0, 0.0]",0.99,0.99,"[0.794875, 1.0]",0.99,0.056002,0.003684
iMF,16,100,pure_width,0.247973,"[0.089818, 0.410363]",0.235,"[0.0, 0.975]",0.01,6.66428,"[5.968957, 7.426945]",,,,,,,,
iMF,16,100,pure_depth,1.988072,"[1.669943, 2.29324]",0.0,"[0.0, 0.0]",1.0,8.40438,"[7.637435, 9.171094]",,,,,,,,
iMF,16,100,balanced,0.600456,"[0.421892, 0.778923]",0.0,"[0.0, 0.0]",1.0,7.016764,"[6.280581, 7.827695]",,,,,,,,
iMF,16,100,historical,0.0,"[0.0, 0.001334]",1.0,"[1.0, 1.0]",0.0,6.416308,"[5.693362, 7.20959]",,,,,,,,
iMF,16,100,fullval,0.0,"[0.0, 0.001334]",1.0,"[1.0, 1.0]",0.0,6.416308,"[5.693362, 7.20959]",,,,,,,,
iMF,16,200,UCB,0.000887,"[0.0, 0.045263]",1.0,"[0.905, 1.0]",0.0,6.384095,"[5.685395, 7.217573]",0.0,"[0.0, 6.6e-05]",0.975,1.0,"[0.905, 1.0]",1.0,-0.0,0.001388
iMF,16,200,ERM,0.000887,"[0.0, 0.028675]",1.0,"[0.954875, 1.0]",0.0,6.384095,"[5.685395, 7.217462]",0.0,"[0.0, 6.6e-05]",0.975,1.0,"[0.96, 1.0]",1.0,-0.0,0.001388
iMF,16,200,pure_width,0.260728,"[0.103416, 0.411219]",0.3,"[0.04, 0.83]",0.11,6.643935,"[5.964606, 7.416855]",,,,,,,,
iMF,16,200,pure_depth,1.99178,"[1.670772, 2.292903]",0.0,"[0.0, 0.0]",1.0,8.374988,"[7.631993, 9.178544]",,,,,,,,
iMF,16,200,balanced,0.615013,"[0.425406, 0.779776]",0.0,"[0.0, 0.045]",0.93,6.99822,"[6.269366, 7.82929]",,,,,,,,
iMF,16,200,historical,0.000887,"[0.0, 0.016428]",1.0,"[0.99, 1.0]",0.0,6.384095,"[5.685395, 7.20633]",,,,,,,,
