model,B,n_cal,subset,UCB_K,UCB_S,UCB_cal_mean,UCB_cal_ucb,UCB_heldout_risk,UCB_regret,UCB_near_optimal,UCB_heldout_micro_risk,ERM_K,ERM_S,ERM_cal_mean,ERM_cal_ucb,ERM_heldout_risk,ERM_regret,ERM_near_optimal,ERM_heldout_micro_risk,oracle_K,oracle_S,oracle_risk,fullval_heldout_risk,regret_pure_width,regret_pure_depth,regret_balanced,regret_historical,regret_fullval
CD,16,200,46,16,1,5.804317,6.38104,6.662325,0.0,True,6.618937,16,1,5.804317,6.38104,6.662325,0.0,True,6.618937,16,1,6.662325,6.662325,0.0,1.975137,0.832134,0.0,0.0
CD,16,200,47,16,1,6.295634,6.951864,5.558243,0.0,True,5.538435,16,1,6.295634,6.951864,5.558243,0.0,True,5.538435,16,1,5.558243,5.558243,0.0,1.910068,0.904982,0.0,0.0
CD,16,200,48,16,1,6.189487,6.821556,5.796775,0.0,True,5.780229,16,1,6.189487,6.821556,5.796775,0.0,True,5.780229,16,1,5.796775,5.796775,0.0,2.138505,1.26056,0.0,0.0
CD,16,200,49,16,1,6.352819,6.9954,5.429737,0.0,True,5.445919,16,1,6.352819,6.9954,5.429737,0.0,True,5.445919,16,1,5.429737,5.429737,0.0,1.955717,0.784982,0.0,0.0
CD,16,200,50,16,1,6.517927,7.181274,5.058707,0.0,True,4.972554,16,1,6.517927,7.181274,5.058707,0.0,True,4.972554,16,1,5.058707,5.058707,0.0,2.352929,0.81261,0.0,0.0
CD,16,200,51,16,1,5.959723,6.519118,6.313098,0.0,True,6.292818,16,1,5.959723,6.519118,6.313098,0.0,True,6.292818,16,1,6.313098,6.313098,0.0,1.907082,0.824005,0.0,0.0
CD,16,200,52,16,1,6.165373,6.769896,5.850965,0.0,True,5.754619,16,1,6.165373,6.769896,5.850965,0.0,True,5.754619,16,1,5.850965,5.850965,0.0,1.652516,0.81364,0.0,0.0
CD,16,200,53,16,1,5.675015,6.225453,6.952893,0.0,True,6.77508,16,1,5.675015,6.225453,6.952893,0.0,True,6.77508,16,1,6.952893,6.952893,0.0,1.929431,0.804509,0.0,0.0
CD,16,200,54,16,1,6.166528,6.800169,5.848369,0.0,True,5.815831,16,1,6.166528,6.800169,5.848369,0.0,True,5.815831,16,1,5.848369,5.848369,0.0,1.65517,1.01847,0.0,0.0
CD,16,200,55,16,1,6.275029,6.945932,5.604547,0.0,True,5.594665,16,1,6.275029,6.945932,5.604547,0.0,True,5.594665,16,1,5.604547,5.604547,0.0,1.569445,0.732199,0.0,0.0
CD,16,200,56,16,1,6.026511,6.612261,6.163014,0.0,True,6.056158,16,1,6.026511,6.612261,6.163014,0.0,True,6.056158,16,1,6.163014,6.163014,0.0,2.43788,0.828847,0.0,0.0
CD,16,200,57,16,1,6.101129,6.730402,5.995332,0.0,True,5.935655,16,1,6.101129,6.730402,5.995332,0.0,True,5.935655,16,1,5.995332,5.995332,0.0,2.623284,1.081854,0.0,0.0
CD,16,200,58,16,1,6.189459,6.83073,5.796837,0.0,True,5.736452,16,1,6.189459,6.83073,5.796837,0.0,True,5.736452,16,1,5.796837,5.796837,0.0,2.139827,0.693592,0.0,0.0
CD,16,200,59,16,1,6.1399,6.77273,5.908206,0.0,True,5.853748,16,1,6.1399,6.77273,5.908206,0.0,True,5.853748,16,1,5.908206,5.908206,0.0,2.127468,0.958979,0.0,0.0
CD,16,200,60,16,1,6.51257,7.193739,5.070747,0.0,True,5.070405,16,1,6.51257,7.193739,5.070747,0.0,True,5.070405,16,1,5.070747,5.070747,0.0,1.976517,1.283703,0.0,0.0
CD,16,200,61,16,1,6.042302,6.662747,6.127529,0.0,True,6.034622,16,1,6.042302,6.662747,6.127529,0.0,True,6.034622,16,1,6.127529,6.127529,0.0,1.988598,0.74105,0.0,0.0
