B,arm,delta_r2,domain,fold,n_perm,null_hi,null_lo,null_mean,r2,setting
256,RESID,0.08894,QRS,2,100,-0.025013,-0.028572,-0.026864,0.062076,train_crossfit
256,RESID,0.009666,HF,2,100,-0.026335,-0.027148,-0.026744,-0.017078,train_crossfit
512,RAW,0.315837,FULL,2,100,-0.021854,-0.041469,-0.031764,0.284073,train_crossfit
512,RAW,0.079481,QRS,2,100,-0.02494,-0.028286,-0.026632,0.052849,train_crossfit
512,RAW,0.010297,HF,2,100,-0.026264,-0.02706,-0.026702,-0.016404,train_crossfit
512,WHITE,0.008995,FULL,2,100,-0.028524,-0.035098,-0.031574,-0.022579,train_crossfit
512,WHITE,0.005642,QRS,2,100,-0.025886,-0.027175,-0.026597,-0.020955,train_crossfit
512,WHITE,0.010555,HF,2,100,-0.026276,-0.027105,-0.026746,-0.016192,train_crossfit
512,HF,0.000473,FULL,2,100,-0.028662,-0.035422,-0.031754,-0.031281,train_crossfit
512,HF,0.000937,QRS,2,100,-0.026077,-0.027452,-0.026682,-0.025745,train_crossfit
512,HF,0.049835,HF,2,100,-0.026112,-0.027277,-0.0267,0.023135,train_crossfit
1,RAW,0.002478,FULL,3,100,-0.054323,-0.065172,-0.059369,-0.05689,train_crossfit
1,RAW,0.000614,QRS,3,100,-0.051539,-0.05362,-0.052563,-0.05195,train_crossfit
1,RAW,8e-06,HF,3,100,-0.027145,-0.027824,-0.027466,-0.027458,train_crossfit
1,WHITE,0.002478,FULL,3,100,-0.054323,-0.065172,-0.059369,-0.05689,train_crossfit
1,WHITE,0.000614,QRS,3,100,-0.051539,-0.05362,-0.052563,-0.05195,train_crossfit
1,WHITE,8e-06,HF,3,100,-0.027145,-0.027824,-0.027466,-0.027458,train_crossfit
1,HF,0.002478,FULL,3,100,-0.054323,-0.065172,-0.059369,-0.05689,train_crossfit
1,HF,0.000614,QRS,3,100,-0.051539,-0.05362,-0.052563,-0.05195,train_crossfit
1,HF,8e-06,HF,3,100,-0.027145,-0.027824,-0.027466,-0.027458,train_crossfit
8,RAW,0.129303,FULL,3,100,-0.048716,-0.069324,-0.058924,0.070378,train_crossfit
8,RAW,0.012599,QRS,3,100,-0.050547,-0.053992,-0.052321,-0.039722,train_crossfit
8,RAW,0.001921,HF,3,100,-0.027112,-0.027856,-0.027452,-0.025531,train_crossfit
8,WHITE,0.001761,FULL,3,100,-0.054354,-0.063404,-0.058499,-0.056739,train_crossfit
8,WHITE,0.001137,QRS,3,100,-0.05133,-0.05324,-0.052238,-0.051101,train_crossfit
8,WHITE,0.002228,HF,3,100,-0.027026,-0.027877,-0.027494,-0.025267,train_crossfit
8,HF,-0.000777,FULL,3,100,-0.053949,-0.062551,-0.058263,-0.059039,train_crossfit
8,HF,-0.000464,QRS,3,100,-0.051147,-0.053277,-0.052212,-0.052676,train_crossfit
8,HF,0.009725,HF,3,100,-0.027111,-0.02786,-0.027486,-0.01776,train_crossfit
32,RAW,0.231575,FULL,3,100,-0.048206,-0.070499,-0.060596,0.170979,train_crossfit
32,RAW,0.025287,QRS,3,100,-0.051086,-0.054588,-0.052822,-0.027534,train_crossfit
32,RAW,0.00569,HF,3,100,-0.027249,-0.02807,-0.02764,-0.02195,train_crossfit
32,WHITE,0.005129,FULL,3,100,-0.056078,-0.066042,-0.060644,-0.055515,train_crossfit
32,WHITE,0.003107,QRS,3,100,-0.051875,-0.05376,-0.052774,-0.049667,train_crossfit
32,WHITE,0.006175,HF,3,100,-0.027306,-0.028058,-0.027679,-0.021504,train_crossfit
