round,global_step,s,bin,n,h_mean,beta_mean,w_mean,effective_w_mean,delta2_mean,u_norm_mean,dudt_norm_mean,hdudt_norm_mean
17,3706,0.943333,"[0.3,0.5)",1608,0.386246,1.0,0.00577822,0.00577822,242.3323,32.8004,22.7745,8.6368
17,3706,0.943333,"[0.5,0.7)",492,0.573981,1.0,0.00668466,0.00668466,177.2939,32.466,15.637,8.9404
17,3706,0.943333,"[0.7,1.0)",49,0.751532,1.0,0.00595315,0.00595315,205.8607,32.1093,15.7503,11.9084
17,3706,0.943333,boundary(r=t),6949,0.0,1.0,0.00770776,0.00770776,154.3381,0.0,0.0,0.0
18,3924,0.94,"[0.0,0.1)",1799,0.049409,1.0,0.00755773,0.00755773,164.2318,32.5142,34.5143,1.6674
18,3924,0.94,"[0.1,0.3)",2921,0.194104,1.0,0.00606694,0.00606694,211.1053,32.8729,31.1385,5.9891
18,3924,0.94,"[0.3,0.5)",1620,0.38691,1.0,0.00566799,0.00566799,250.2803,32.7094,23.4707,8.8791
18,3924,0.94,"[0.5,0.7)",551,0.572424,1.0,0.00651074,0.00651074,188.0942,32.814,15.9123,9.0624
18,3924,0.94,"[0.7,1.0)",59,0.753252,1.0,0.00645262,0.00645262,200.3241,31.7155,15.2149,11.485
18,3924,0.94,boundary(r=t),6949,0.0,1.0,0.00775915,0.00775915,153.1886,0.0,0.0,0.0
19,4142,0.936667,"[0.0,0.1)",1807,0.049899,1.0,0.00761335,0.00761335,164.5928,32.7282,34.0331,1.6566
19,4142,0.936667,"[0.1,0.3)",2964,0.191235,1.0,0.00615939,0.00615939,214.8662,32.8911,32.1476,6.1381
19,4142,0.936667,"[0.3,0.5)",1558,0.386195,1.0,0.00559195,0.00559195,256.4388,32.792,24.3319,9.2184
19,4142,0.936667,"[0.5,0.7)",557,0.574213,1.0,0.00659162,0.00659162,182.0487,32.4965,16.1133,9.1921
19,4142,0.936667,"[0.7,1.0)",64,0.747412,1.0,0.00579391,0.00579391,232.037,32.486,15.7456,11.7862
19,4142,0.936667,boundary(r=t),6949,0.0,1.0,0.00776653,0.00776653,152.4506,0.0,0.0,0.0
20,4360,0.933333,"[0.0,0.1)",1808,0.049612,1.0,0.00760035,0.00760035,162.4103,32.7408,33.8693,1.6392
20,4360,0.933333,"[0.1,0.3)",2916,0.19372,1.0,0.00614067,0.00614067,215.5886,32.9081,32.0871,6.209
20,4360,0.933333,"[0.3,0.5)",1636,0.386156,1.0,0.00552689,0.00552689,258.4918,32.8169,24.4302,9.2407
20,4360,0.933333,"[0.5,0.7)",541,0.575264,1.0,0.00630739,0.00630739,197.5832,32.6587,16.7368,9.6156
20,4360,0.933333,"[0.7,1.0)",49,0.754951,1.0,0.00580395,0.00580395,214.7812,32.3482,14.8783,11.2445
20,4360,0.933333,boundary(r=t),6949,0.0,1.0,0.00784096,0.00784096,151.7644,0.0,0.0,0.0
21,4578,0.93,"[0.0,0.1)",1876,0.048318,1.0,0.00765582,0.00765582,164.3342,32.6761,34.6883,1.6373
21,4578,0.93,"[0.1,0.3)",2903,0.192003,1.0,0.00626505,0.00626505,207.8792,32.9665,31.617,6.0525
21,4578,0.93,"[0.3,0.5)",1622,0.387554,1.0,0.00540964,0.00540964,268.2592,32.8627,25.0918,9.5443
21,4578,0.93,"[0.5,0.7)",494,0.573177,1.0,0.00638281,0.00638281,193.1574,32.5084,16.4803,9.39
21,4578,0.93,"[0.7,1.0)",55,0.750545,1.0,0.00584188,0.00584188,223.2984,31.956,16.3649,12.3014
21,4578,0.93,boundary(r=t),6949,0.0,1.0,0.00789163,0.00789163,151.4457,0.0,0.0,0.0
22,4796,0.926667,"[0.0,0.1)",1815,0.049082,1.0,0.00770247,0.00770247,164.0756,32.641,34.6143,1.664
22,4796,0.926667,"[0.1,0.3)",2928,0.193176,1.0,0.00628169,0.00628169,210.6474,33.0813,31.2855,6.045
22,4796,0.926667,"[0.3,0.5)",1639,0.385224,1.0,0.00549029,0.00549029,276.6445,32.7411,25.2098,9.5032
22,4796,0.926667,"[0.5,0.7)",512,0.574373,1.0,0.00672361,0.00672361,183.4615,32.6245,15.9381,9.0961
22,4796,0.926667,"[0.7,1.0)",56,0.75185,1.0,0.00627312,0.00627312,229.226,31.8767,15.0855,11.3529
22,4796,0.926667,boundary(r=t),6949,0.0,1.0,0.00802165,0.00802165,149.2507,0.0,0.0,0.0
23,5014,0.923333,"[0.0,0.1)",1836,0.048603,1.0,0.00763731,0.00763731,163.0498,32.7949,33.5981,1.5935
23,5014,0.923333,"[0.1,0.3)",2970,0.192376,1.0,0.00631892,0.00631892,208.8467,32.9331,31.519,6.0335
23,5014,0.923333,"[0.3,0.5)",1562,0.386844,1.0,0.00548983,0.00548983,273.2182,32.7736,25.0987,9.5359
23,5014,0.923333,"[0.5,0.7)",517,0.579312,1.0,0.00644154,0.00644154,194.2069,32.4827,16.5773,9.5388
23,5014,0.923333,"[0.7,1.0)",65,0.750547,1.0,0.00611584,0.00611584,236.7528,31.9028,15.6368,11.7191
23,5014,0.923333,boundary(r=t),6949,0.0,1.0,0.00800751,0.00800751,149.2177,0.0,0.0,0.0
24,5232,0.92,"[0.0,0.1)",1880,0.048478,1.0,0.00790323,0.00790323,156.3363,32.7212,33.7351,1.5842
24,5232,0.92,"[0.1,0.3)",2847,0.192917,1.0,0.00628046,0.00628046,207.1631,33.0012,30.7353,5.9175
24,5232,0.92,"[0.3,0.5)",1634,0.387307,1.0,0.0055813,0.0055813,262.8711,32.8258,24.4535,9.2913
24,5232,0.92,"[0.5,0.7)",547,0.573996,1.0,0.0062978,0.0062978,204.7275,32.6525,16.8388,9.6382
24,5232,0.92,"[0.7,1.0)",42,0.748191,1.0,0.00623378,0.00623378,242.3301,32.34,15.0992,11.2454
24,5232,0.92,boundary(r=t),6949,0.0,1.0,0.00808508,0.00808508,147.4294,0.0,0.0,0.0
25,5450,0.916667,"[0.0,0.1)",1875,0.048474,1.0,0.00788023,0.00788023,160.4058,32.6471,34.2708,1.6426
25,5450,0.916667,"[0.1,0.3)",2934,0.193294,1.0,0.00630262,0.00630262,211.6291,32.9504,32.0235,6.1918
